tenure_months,monthly_charges,total_charges,num_products,support_calls,payment_delay_days,contract_type,internet_service,online_security,tech_support,churn
52,97.86,5208.97,2,7,14,2,0,0,0,0
45,96.15,4246.69,4,3,13,0,2,0,0,0
39,83.15,3299.02,3,3,23,2,1,1,0,0
39,65.78,2506.81,4,3,15,2,0,1,0,0
33,22.47,747.96,2,7,2,2,1,0,0,0
10,55.14,558.5,1,3,10,1,2,1,0,0
59,93.35,5339.91,3,7,19,0,1,0,0,0
50,82.71,4181.29,3,2,0,1,2,0,1,0
4,105.41,426.68,4,6,13,0,2,1,1,1
49,41.16,2030.41,2,5,14,1,1,0,0,0
19,39.01,715.99,1,4,28,1,1,1,0,0
6,48.13,291.15,2,2,4,1,2,1,1,0
2,85.54,165.78,5,5,24,2,0,1,1,1
43,89.25,4012.15,1,0,19,1,1,0,0,0
70,90.67,6333.63,1,8,10,1,2,0,0,0
23,91.07,2063.34,5,8,10,2,0,0,0,0
70,43.67,3025.47,5,6,30,2,1,1,1,0
7,28.04,190.48,2,6,3,1,1,1,0,0
18,103.55,1806.16,3,1,10,2,2,1,0,0
49,70.6,3299.24,5,6,10,2,0,0,1,0
65,32.27,2097.77,3,9,19,1,1,1,0,0
15,83.48,1206.57,4,1,17,0,2,1,0,0
24,84.34,1964.82,1,3,17,1,2,0,0,0
14,60.28,856.45,3,9,15,1,2,0,1,0
11,36.1,385.05,1,9,26,2,1,1,1,0
55,45.22,2376.54,1,4,3,0,0,1,1,0
17,32.62,581.91,2,0,12,2,0,1,1,0
52,64.87,3259.24,4,2,15,2,2,1,0,0
72,32.26,2277.08,3,9,17,1,1,0,0,0
39,30.83,1145.45,2,5,19,1,0,0,0,0
21,28.35,617.34,3,7,22,2,2,0,1,0
32,92.57,2926.92,4,1,29,2,1,0,0,0
59,115.6,7071.23,2,8,15,1,0,0,1,0
20,59.27,1202.82,5,8,6,0,1,1,0,0
41,57.71,2482.5,4,3,28,2,1,0,1,0
28,101.42,2844.19,1,2,27,1,2,1,0,0
13,89.26,1207.57,1,6,26,2,1,1,1,0
14,88.96,1201.46,3,5,29,1,0,0,1,1
22,91.14,1953.91,5,9,30,2,1,0,0,0
40,41.6,1667.12,4,4,6,2,1,1,1,0
66,83.74,5253.28,2,7,26,1,2,1,0,0
35,37.49,1322.9,2,2,29,0,1,0,1,0
11,58.49,662.84,3,6,4,0,0,1,1,0
11,58.76,645.49,5,1,1,1,1,0,1,0
1,103.04,98.17,2,5,30,2,0,1,1,1
50,65.48,3340.15,1,2,17,0,0,1,1,0
31,44.46,1397.82,5,6,17,2,0,0,0,0
3,48.12,143.25,2,8,1,0,1,1,1,0
60,73.21,4591.51,2,1,11,2,0,1,1,0
63,114.52,7552.68,5,7,12,0,0,1,1,0
4,85.12,341.78,1,5,15,0,1,0,1,1
16,115.61,1888.45,5,3,21,0,0,1,0,0
38,45.51,1758.31,2,6,0,2,0,1,0,0
8,48.18,377.28,4,1,9,0,2,1,1,0
27,58.43,1656.32,2,9,22,0,2,0,0,0
21,95.69,2013.91,3,2,11,0,0,1,1,0
33,52.79,1718.55,3,3,8,2,2,0,0,0
71,52.84,3932.04,4,1,25,2,0,1,1,0
33,102.33,3523.13,1,5,15,1,1,1,0,0
45,50.64,2201.63,4,7,7,1,2,1,1,0
30,27.91,865.06,4,1,18,2,1,1,1,0
44,108.35,4997.99,5,4,28,2,1,0,0,0
46,35.19,1651.84,1,7,6,1,0,0,0,0
31,38.03,1210.61,5,3,12,1,1,0,0,0
30,119.59,3558.82,5,9,2,2,0,0,1,0
54,49.16,2679.99,2,1,1,2,1,0,0,0
36,92.44,3437.2,1,0,7,0,0,0,0,0
62,60.29,3775.94,2,3,2,1,0,0,1,0
20,59.83,1222.33,5,6,14,1,2,1,1,0
52,58.99,3007.15,1,0,8,2,0,1,1,0
39,49.59,1977.44,2,3,1,2,1,0,0,0
11,31.05,333.68,2,9,28,0,1,1,0,1
24,95.1,2355.25,5,5,19,0,0,0,0,0
43,35.4,1518.33,1,2,23,1,2,0,1,0
50,20.64,1034.37,3,6,1,2,2,1,0,0
60,39.08,2278.01,5,8,9,1,0,1,0,0
65,115.84,7888.45,2,6,21,1,2,0,0,0
39,28.13,1128.3,1,0,15,1,0,0,0,0
53,89.54,4901.6,5,6,16,0,0,1,0,0
34,69.75,2365.5,3,7,13,2,2,1,1,0
2,115.67,241.99,5,2,15,0,0,0,1,1
36,85.35,2961.72,1,6,6,2,0,0,1,0
20,26.06,532.18,5,7,3,1,0,1,1,0
6,57.45,338.01,4,6,25,0,2,0,0,1
31,90.58,2758.46,5,4,26,2,0,0,0,0
29,82.38,2498.51,1,9,5,2,1,0,0,0
6,59.25,346.96,3,1,0,2,2,0,0,0
14,35.81,480.73,2,7,22,0,2,0,1,0
4,88.1,368.08,1,8,22,0,2,0,0,1
72,77.87,5504.69,5,4,9,1,1,0,0,0
35,53.26,1784.8,2,5,26,2,2,0,1,0
54,57.9,3175.5,1,0,10,2,2,0,1,0
39,96.39,3916.58,2,0,2,2,2,1,0,0
15,68.75,1059.49,1,1,11,0,2,1,0,0
20,86.08,1690.95,2,2,25,0,1,0,1,0
32,43.22,1432.64,1,8,1,0,0,0,0,0
15,39.25,595.45,5,5,9,0,0,0,1,0
37,98.39,3564.0,5,1,14,2,1,1,0,0
23,63.76,1500.6,5,3,3,0,1,0,1,0
29,42.17,1192.94,5,0,9,1,1,1,1,0
59,70.38,4254.09,2,5,12,2,0,1,1,0
66,47.77,3102.56,4,6,27,0,0,1,0,0
62,83.96,5409.49,2,8,22,2,0,1,0,0
27,32.82,869.17,5,5,29,2,0,0,0,0
45,83.55,3664.31,3,5,2,1,2,0,0,0
23,35.23,775.36,3,9,30,2,0,0,1,1
55,98.79,5453.19,5,2,15,1,1,0,1,0
48,115.76,5289.76,5,7,5,2,2,1,1,0
23,73.65,1769.71,2,3,10,0,2,1,1,0
34,105.63,3588.29,1,7,4,2,1,1,1,0
49,46.62,2375.91,2,8,7,2,1,1,0,0
26,84.24,2149.74,2,2,0,2,1,0,1,0
65,81.08,5209.8,3,6,30,1,1,1,1,0
6,61.34,371.87,4,3,5,0,0,0,0,0
62,44.5,2864.84,2,9,27,0,1,0,1,0
62,44.03,2763.22,4,5,20,0,2,1,0,0
34,29.51,1024.34,2,1,27,0,2,0,0,0
62,77.74,5034.67,2,2,10,2,2,0,0,0
17,51.14,869.99,2,0,26,1,2,0,1,0
66,74.27,4917.35,5,2,11,0,0,0,0,0
59,78.49,4472.0,2,0,16,0,1,0,0,0
53,20.55,1042.0,3,2,30,0,2,1,1,0
28,104.06,2848.25,2,3,1,1,1,1,0,0
68,70.89,4847.82,3,8,30,0,1,1,0,0
35,39.71,1368.06,5,2,22,1,1,0,1,0
63,107.44,7092.96,4,0,27,1,0,0,1,0
18,35.29,650.93,4,4,29,1,0,1,1,0
13,97.08,1205.24,5,0,26,2,0,0,1,0
24,48.28,1173.43,2,2,10,1,2,0,0,0
54,58.53,3033.6,5,3,22,1,1,0,0,0
7,29.18,203.66,5,4,24,0,1,0,1,1
43,34.14,1400.97,3,5,0,1,0,1,0,0
60,62.59,3596.22,1,5,0,1,0,0,1,0
35,81.18,2936.4,4,7,22,1,0,1,0,0
58,92.51,5278.63,1,3,29,2,2,0,0,0
32,59.86,1996.02,2,2,3,2,0,0,1,0
10,30.24,292.85,5,5,8,0,2,0,1,0
46,90.48,4258.62,2,2,28,0,2,0,1,0
15,32.91,509.62,4,8,24,2,0,0,0,1
45,42.29,1925.18,5,1,15,1,2,0,1,0
6,87.38,541.49,2,6,29,2,2,0,1,1
11,106.17,1126.95,2,8,9,0,2,1,0,0
47,92.02,4332.21,1,8,25,0,1,0,1,0
61,25.87,1532.32,5,1,12,0,0,1,1,0
67,69.1,4429.94,1,9,30,0,2,0,0,0
40,33.36,1282.73,1,3,22,2,0,0,1,0
42,31.64,1267.24,2,4,24,0,1,0,1,0
57,95.15,5652.87,1,2,27,1,1,0,0,0
5,82.4,413.58,5,4,4,1,2,0,1,0
6,46.72,275.88,2,8,18,0,2,0,1,1
30,32.57,1000.67,5,0,28,0,0,1,1,0
1,39.6,40.76,2,0,25,0,1,0,1,1
67,119.29,8371.09,2,8,14,1,0,0,0,0
37,26.07,930.05,4,6,9,1,1,0,1,0
34,105.04,3392.9,4,0,30,0,2,0,0,0
4,88.99,356.2,5,5,29,1,2,1,1,1
22,115.21,2642.68,4,0,28,1,0,1,1,0
70,66.98,4905.97,3,3,10,1,2,0,1,0
56,91.52,5057.26,2,4,22,0,2,1,0,0
55,58.56,3092.39,4,4,20,1,1,1,1,0
57,38.77,2216.92,2,9,17,2,2,1,1,0
4,31.73,129.32,3,2,4,0,2,0,0,0
6,37.59,236.63,1,8,19,2,1,0,0,1
35,21.78,790.26,1,7,18,2,2,1,1,0
54,37.94,2011.89,4,0,0,1,0,0,0,0
58,75.66,4182.48,4,9,13,1,2,1,1,0
62,60.13,3907.7,4,3,4,2,2,0,1,0
40,71.83,2852.54,3,6,2,2,2,1,0,0
68,101.89,7106.81,1,5,3,0,0,0,1,0
40,50.12,1986.06,2,8,21,2,2,0,0,0
13,43.59,582.06,2,4,4,0,0,0,0,1
11,60.08,638.41,1,0,5,0,0,0,0,1
32,102.89,3340.88,5,6,2,1,1,1,1,0
5,50.47,250.1,5,0,23,2,1,0,1,0
64,98.97,6047.14,3,4,9,1,2,1,1,0
21,74.74,1588.19,3,2,7,0,2,0,1,0
69,85.55,5835.52,3,5,8,0,0,0,1,0
12,36.22,427.2,3,2,13,1,2,1,1,0
56,119.87,6609.68,4,0,3,2,1,1,0,0
16,102.8,1671.7,2,0,17,2,0,1,0,0
45,34.81,1626.96,3,7,28,0,0,1,1,0
62,74.52,4487.16,2,2,4,2,2,0,0,0
50,39.46,1960.62,5,4,4,1,2,1,0,0
11,85.97,935.58,1,2,4,2,1,0,1,0
42,43.14,1832.89,2,5,30,2,2,0,1,0
10,60.11,598.07,5,0,0,2,0,0,0,0
50,116.66,5723.04,2,8,3,0,2,1,0,0
66,28.89,1958.93,4,5,15,2,1,1,1,0
24,81.95,2042.67,5,9,6,2,2,0,0,0
1,83.65,79.63,2,9,26,1,0,1,0,1
64,64.05,3922.62,5,3,19,1,0,1,1,0
44,43.66,1837.44,2,5,20,1,1,1,0,0
70,56.79,3960.45,5,5,0,1,1,1,1,0
29,47.11,1401.94,3,3,4,2,0,0,0,0
63,100.49,6354.26,5,2,0,2,1,0,1,0
56,60.45,3309.17,1,2,16,0,1,0,0,0
7,117.17,830.13,1,3,13,0,0,1,0,1
70,22.73,1528.71,1,2,16,0,0,1,1,0
7,51.35,356.89,4,9,28,1,0,1,1,1
43,24.51,1051.39,2,5,25,2,2,0,0,0
27,103.99,2793.08,3,9,21,2,1,0,1,0
25,20.4,505.64,3,3,15,1,1,1,0,0
7,58.16,388.48,1,7,9,0,2,1,0,0
15,106.6,1534.64,1,1,5,2,1,1,0,0
71,51.16,3775.64,4,4,24,0,1,0,1,0
50,24.89,1240.33,2,9,21,2,2,1,0,0
67,61.74,4219.42,3,7,16,0,1,0,1,0
35,56.48,1949.52,1,0,5,0,2,1,1,0
41,38.56,1503.77,2,8,3,2,0,1,1,0
23,85.96,1879.19,1,4,5,0,2,0,0,0
60,94.07,5537.08,3,6,1,0,0,0,1,0
12,115.92,1396.48,4,0,19,2,0,1,0,0
57,41.42,2397.58,2,0,16,2,0,1,0,0
45,43.52,2004.52,1,4,22,1,0,0,1,0
51,105.41,5458.53,1,3,4,2,0,0,0,0
11,39.82,451.07,5,2,14,2,0,1,1,0
64,67.71,4315.09,2,0,26,2,2,1,0,0
67,67.39,4666.81,1,8,19,0,0,0,0,0
59,53.69,3165.63,1,1,29,0,1,1,1,0
33,33.41,1129.08,2,5,7,1,2,1,0,0
61,24.71,1454.4,4,7,3,1,0,1,1,0
23,107.37,2348.86,3,5,16,0,1,1,1,0
33,33.65,1143.42,1,7,9,2,1,0,1,0
62,54.11,3396.36,1,6,12,0,1,1,0,0
42,37.24,1543.09,2,4,14,2,1,1,1,0
22,28.5,610.58,4,7,2,2,1,0,0,0
72,78.02,5559.28,3,9,20,0,0,1,0,0
68,62.11,4300.41,3,7,25,1,0,1,0,0
2,62.4,121.89,3,2,19,2,1,1,0,0
4,47.47,196.9,4,6,30,0,0,1,1,1
51,73.92,3659.87,4,4,18,0,2,1,0,0
52,107.83,5851.03,2,5,14,0,0,1,0,0
45,39.18,1689.44,4,4,29,0,1,0,1,0
55,71.07,3818.66,5,1,8,2,2,1,0,0
40,102.74,4195.21,2,4,28,0,2,1,0,0
53,111.79,5664.49,1,5,20,1,1,0,1,0
8,119.02,971.62,5,3,12,0,0,1,1,1
33,70.8,2435.32,3,9,10,2,2,1,1,0
69,49.28,3568.26,5,8,23,2,0,1,1,0
13,59.78,786.31,4,7,19,0,1,1,1,1
46,114.41,5109.17,4,6,2,2,1,1,1,0
33,53.24,1770.19,5,5,20,2,0,0,1,0
49,38.02,1837.44,5,9,17,1,2,0,1,0
10,70.9,726.99,4,5,29,1,0,1,0,1
23,61.63,1455.68,2,2,3,0,2,0,1,0
59,53.21,3096.08,4,5,23,2,0,1,0,0
54,34.04,1916.36,2,0,12,2,2,0,0,0
30,28.38,826.76,1,5,9,1,1,1,1,0
37,105.41,3800.7,5,2,25,1,1,1,1,0
43,23.36,1010.23,4,4,27,2,1,1,0,0
28,43.75,1178.04,3,0,15,0,1,1,0,0
36,96.27,3435.26,4,4,28,2,1,0,1,0
27,53.38,1473.43,2,7,18,1,0,1,0,0
13,106.78,1386.63,5,5,0,0,2,0,0,0
70,110.44,7418.62,3,3,24,2,1,0,0,0
29,20.7,605.8,5,5,2,2,0,0,1,0
1,75.41,76.79,2,4,26,1,0,1,1,1
51,103.66,5405.05,5,6,6,0,1,0,1,0
6,56.09,320.3,2,5,17,1,0,0,0,1
45,118.98,5245.4,5,9,25,2,2,0,0,0
39,84.56,3443.75,3,2,9,1,0,1,0,0
18,69.6,1306.41,2,6,26,0,2,1,1,0
54,113.24,6063.27,3,9,23,1,0,0,1,0
36,20.04,743.24,1,1,29,2,2,0,0,0
56,100.94,5858.15,4,9,19,2,1,1,1,0
20,82.6,1655.03,4,4,12,1,2,0,0,0
31,105.18,3329.38,5,3,12,0,0,0,1,0
22,85.78,1961.55,4,3,21,0,1,0,1,0
41,46.76,1873.03,1,2,3,0,1,1,1,0
58,90.52,5486.3,2,7,5,1,0,0,0,0
71,43.14,2916.83,5,2,24,0,2,0,1,0
32,61.28,2029.04,3,3,14,0,1,0,0,0
44,106.84,4930.04,2,2,30,1,1,1,0,0
23,48.1,1058.87,2,4,23,1,1,1,1,0
72,57.9,4098.03,4,0,18,2,1,0,1,0
57,98.77,5466.01,1,6,16,0,1,1,1,0
50,95.79,4900.44,5,9,1,2,2,0,0,0
59,39.79,2442.91,3,6,30,2,0,1,0,0
71,112.31,7644.72,2,9,19,1,1,0,1,0
18,60.87,1071.93,5,7,6,2,2,1,1,0
25,65.18,1682.2,4,8,13,2,2,1,1,0
16,98.13,1569.41,1,6,6,0,2,1,1,0
24,90.03,2225.15,4,2,3,1,1,0,1,0
70,96.84,6463.74,3,7,0,2,2,1,0,0
31,80.1,2560.93,4,6,26,0,0,1,0,0
40,82.23,3242.99,5,5,21,0,2,0,1,0
35,21.61,772.89,5,5,11,2,0,0,0,0
18,85.72,1505.14,2,6,10,2,0,1,1,0
8,38.42,303.08,1,4,13,2,1,1,0,0
4,21.95,85.62,4,3,26,2,2,1,1,0
2,112.78,215.09,5,6,23,1,2,1,0,1
66,60.64,4188.04,5,9,12,1,0,1,0,0
46,99.43,4666.83,4,5,30,1,1,0,0,0
32,64.32,2021.35,3,3,6,1,2,0,1,0
52,36.77,1917.47,4,4,22,2,0,1,1,0
12,116.74,1380.64,1,1,1,1,1,0,1,0
29,115.25,3261.2,2,6,9,1,2,1,0,0
68,34.94,2357.85,5,7,29,0,0,1,1,0
37,63.18,2388.65,3,8,17,1,1,1,1,0
26,94.89,2534.52,4,1,22,1,1,1,0,0
56,96.03,5463.82,1,1,17,1,0,0,0,0
23,102.66,2365.01,1,8,30,2,2,0,0,0
29,117.71,3292.03,2,9,22,2,0,1,1,0
33,40.61,1339.54,2,0,25,0,0,1,1,0
57,100.04,5957.07,2,9,25,0,2,0,0,0
66,74.58,4737.33,1,9,16,1,1,1,0,0
